#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
5864238;05/05/2020 20:29:35;IRP_MJ_CLOSE;DOWN;;;"";;;COM3;;
5864240;05/05/2020 20:29:35;IRP_MJ_CREATE;DOWN;;;"D:\Program Files (x86)\C-Mexx Software\THE VISUALIZER\The Visualizer 02RPatched.exe";;;COM3;;
5864299;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
5864308;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;1f ;".";1;1;COM3;;
5864323;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;30 ;"0";1;1;COM3;;
5864334;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;31 ;"1";1;1;COM3;;
5864347;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;72 ;"r";1;1;COM3;;
5864359;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5864389;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5864405;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;07 ;".";1;1;COM3;;
5864417;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
5864429;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
5864441;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;f5 ;"õ";1;1;COM3;;
5864453;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;07 ;".";1;1;COM3;;
5864462;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
5864474;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
5864486;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
5864501;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
5864513;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
5864525;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
5864537;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;e1 ;"á";1;1;COM3;;
5864549;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
5864561;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;85 ;"…";1;1;COM3;;
5864573;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;11 ;".";1;1;COM3;;
5864582;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;69 ;"i";1;1;COM3;;
5864593;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
5864605;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;85 ;"…";1;1;COM3;;
5864617;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;11 ;".";1;1;COM3;;
5864629;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;69 ;"i";1;1;COM3;;
5864641;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
5864653;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;87 ;"‡";1;1;COM3;;
5864665;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
5864677;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;78 ;"x";1;1;COM3;;
5864693;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5864705;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5864717;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;36 ;"6";1;1;COM3;;
5864726;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
5864741;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5864753;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5864762;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5864777;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
5864789;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
5864801;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5864817;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5864829;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5864838;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
5864850;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
5864862;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5864877;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5864889;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5864901;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;39 ;"9";1;1;COM3;;
5864913;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
5864925;05/05/2020 20:29:38;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5865677;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5865686;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5865700;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;36 ;"6";1;1;COM3;;
5865713;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
5865725;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5865737;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5865749;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5865761;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
5865773;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
5865785;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5865797;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5865808;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5865821;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
5865833;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
5865842;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5865857;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5865869;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5865881;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;39 ;"9";1;1;COM3;;
5865893;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
5865905;05/05/2020 20:29:40;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5866199;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5866208;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5866220;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;36 ;"6";1;1;COM3;;
5866231;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
5866240;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5866255;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5866266;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5866279;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
5866291;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
5866300;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5866312;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5866324;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5866336;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
5866348;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
5866363;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5866375;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
5866384;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;9f ;"Ÿ";1;1;COM3;;
5866399;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;39 ;"9";1;1;COM3;;
5866411;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
5866423;05/05/2020 20:29:41;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
